Date,Location,Incident_Type,Vessel_Type,Casualties,Cargo_Loss,Country,Latitude,Longitude,Description
2020-06-26,South China Sea,Grounding,Passenger,0.0,No,Singapore,-22.385501787769734,27.776403737818498,Grounding involving a Passenger vessel in South China Sea.
2025-03-01,South China Sea,Piracy,Military,3.0,No,USA,9.452916534289528,29.252716228977675,Piracy involving a Military vessel in South China Sea.
2023-11-24,Mediterranean Sea,Collision,Military,4.5,Yes,UK,-35.69423460207027,177.95444441547494,Collision involving a Military vessel in Mediterranean Sea.
2016-12-21,Pacific Ocean,Piracy,Passenger,30.0,Yes,Japan,-46.62982588910257,72.54262645049727,Piracy involving a Passenger vessel in Pacific Ocean.
2021-05-06,Baltic Sea,Fire/Explosion,Passenger,3.0,Yes,China,20.239636961282102,16.106972305158877,Fire/Explosion involving a Passenger vessel in Baltic Sea.
2011-09-25,Pacific Ocean,Fire/Explosion,Tanker,10.0,Yes,India,-22.933740541744875,-14.9257431222197,Fire/Explosion involving a Tanker vessel in Pacific Ocean.
2022-06-28,Mediterranean Sea,Collision,Passenger,24.0,No,Japan,-47.81160873699646,102.4278659912357,Collision involving a Passenger vessel in Mediterranean Sea.
2018-01-22,Baltic Sea,Piracy,Passenger,6.0,No,Japan,-49.586539972362736,38.597857842995296,Piracy involving a Passenger vessel in Baltic Sea.
2024-05-12,South China Sea,Piracy,Tanker,14.0,No,Norway,-22.487589010065356,-126.96781943014147,Piracy involving a Tanker vessel in South China Sea.
2018-09-30,Indian Ocean,Capsizing,Military,10.5,Yes,China,4.820237616540325,-130.22729015299942,Capsizing involving a Military vessel in Indian Ocean.
2011-08-15,South China Sea,Fire/Explosion,Passenger,15.0,Yes,Japan,-12.904463843215254,-51.659274992633016,Fire/Explosion involving a Passenger vessel in South China Sea.
2020-10-23,Indian Ocean,Piracy,Tanker,6.0,No,India,-46.8895495928228,75.90700409530197,Piracy involving a Tanker vessel in Indian Ocean.
2012-10-22,South China Sea,Collision,Cargo,7.0,Yes,Singapore,-24.977183503016143,134.13203714290836,Collision involving a Cargo vessel in South China Sea.
2012-09-09,Pacific Ocean,Grounding,Fishing,2.5,No,China,18.062676928263258,-91.15445029423879,Grounding involving a Fishing vessel in Pacific Ocean.
2022-06-16,Pacific Ocean,Piracy,Tanker,12.0,No,UK,-4.070025355131612,63.73980373559618,Piracy involving a Tanker vessel in Pacific Ocean.
2019-04-06,Baltic Sea,Collision,Passenger,24.0,No,UK,-59.293045027763895,54.238076401392334,Collision involving a Passenger vessel in Baltic Sea.
2015-12-01,South China Sea,Capsizing,Military,3.0,Yes,UK,4.548554182298403,-102.17631970528392,Capsizing involving a Military vessel in South China Sea.
2010-10-25,Indian Ocean,Grounding,Military,6.0,No,Singapore,35.234286057348044,-126.07027641345894,Grounding involving a Military vessel in Indian Ocean.
2023-12-22,Atlantic Ocean,Collision,Military,7.5,Yes,Japan,-19.885723350398393,33.14960925997153,Collision involving a Military vessel in Atlantic Ocean.
2016-08-23,Atlantic Ocean,Capsizing,Military,7.5,Yes,Germany,-34.24626938813773,-166.90319244562025,Capsizing involving a Military vessel in Atlantic Ocean.
2022-12-25,South China Sea,Capsizing,Cargo,2.0,No,Japan,-56.91301905524104,-67.81090629434516,Capsizing involving a Cargo vessel in South China Sea.
2023-01-24,Baltic Sea,Capsizing,Passenger,24.0,Yes,India,-16.724136230303138,-38.56074573220536,Capsizing involving a Passenger vessel in Baltic Sea.
2015-02-24,South China Sea,Fire/Explosion,Cargo,4.0,Yes,Japan,34.523329433775814,-89.60539816753712,Fire/Explosion involving a Cargo vessel in South China Sea.
2025-11-29,Baltic Sea,Capsizing,Passenger,3.0,Yes,Norway,-12.657862998529495,60.67981818658171,Capsizing involving a Passenger vessel in Baltic Sea.
2013-01-17,Atlantic Ocean,Piracy,Fishing,3.0,Yes,Norway,14.233534349902527,-114.22070369944412,Piracy involving a Fishing vessel in Atlantic Ocean.
2020-11-05,Pacific Ocean,Piracy,Passenger,12.0,Yes,Norway,12.274510909823476,-4.9303591358029735,Piracy involving a Passenger vessel in Pacific Ocean.
2021-11-30,Pacific Ocean,Collision,Tanker,24.0,Yes,Norway,8.895723616669287,-1.7636819574327944,Collision involving a Tanker vessel in Pacific Ocean.
2023-10-19,Pacific Ocean,Collision,Fishing,4.0,Yes,Norway,-2.5715748831392418,-23.724069121418893,Collision involving a Fishing vessel in Pacific Ocean.
2023-03-28,Baltic Sea,Grounding,Fishing,3.0,No,India,58.14526957465334,-120.20185309754618,Grounding involving a Fishing vessel in Baltic Sea.
2016-01-22,Mediterranean Sea,Collision,Passenger,15.0,No,China,9.590242908057178,133.339032820608,Collision involving a Passenger vessel in Mediterranean Sea.
